"cancer" "samples" "ntotal"
"BRCA" 1599 2
"BRCA" 1599 52
"BRCA" 1599 2
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 6
"BRCA" 1599 4
"BRCA" 1599 2
"BRCA" 1599 6
"BRCA" 1599 2
"BRCA" 1599 5
"BRCA" 1599 2
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 6
"BRCA" 1599 4
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 6
"BRCA" 1599 1
"BRCA" 1599 3
"BRCA" 1599 7
"BRCA" 1599 8
"BRCA" 1599 3
"BRCA" 1599 13
"BRCA" 1599 2
"BRCA" 1599 1
"BRCA" 1599 17
"BRCA" 1599 3
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 6
"BRCA" 1599 3
"BRCA" 1599 3
"BRCA" 1599 3
"BRCA" 1599 4
"BRCA" 1599 4
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 1
"BRCA" 1599 5
"BRCA" 1599 5
"BRCA" 1599 3
"BRCA" 1599 6
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 2
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 6
"BRCA" 1599 21
"BRCA" 1599 3
"BRCA" 1599 3
"BRCA" 1599 7
"BRCA" 1599 3
"BRCA" 1599 5
"BRCA" 1599 2
"BRCA" 1599 1
"BRCA" 1599 4
"BRCA" 1599 21
"BRCA" 1599 9
"BRCA" 1599 25
"BRCA" 1599 52
"BRCA" 1599 12
"BRCA" 1599 28
"BRCA" 1599 29
"BRCA" 1599 47
"BRCA" 1599 42
"BRCA" 1599 8
"BRCA" 1599 12
"BRCA" 1599 9
"BRCA" 1599 21
"BRCA" 1599 48
"BRCA" 1599 36
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 4
"BRCA" 1599 4
"BRCA" 1599 2
"BRCA" 1599 6
"BRCA" 1599 4
"BRCA" 1599 6
"BRCA" 1599 9
"BRCA" 1599 8
"BRCA" 1599 6
"BRCA" 1599 5
"BRCA" 1599 5
"BRCA" 1599 6
"BRCA" 1599 3
"BRCA" 1599 5
"BRCA" 1599 6
"BRCA" 1599 4
"BRCA" 1599 1
"BRCA" 1599 5
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 4
"BRCA" 1599 4
"BRCA" 1599 5
"BRCA" 1599 7
"BRCA" 1599 4
"BRCA" 1599 6
"BRCA" 1599 1
"BRCA" 1599 6
"BRCA" 1599 3
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 4
"BRCA" 1599 3
"BRCA" 1599 4
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 8
"BRCA" 1599 1
"BRCA" 1599 3
"BRCA" 1599 4
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 5
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 4
"BRCA" 1599 7
"BRCA" 1599 5
"BRCA" 1599 2
"BRCA" 1599 1
"BRCA" 1599 4
"BRCA" 1599 2
"BRCA" 1599 2
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 6
"BRCA" 1599 2
"BRCA" 1599 6
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 14
"BRCA" 1599 1
"BRCA" 1599 4
"BRCA" 1599 1
"BRCA" 1599 6
"BRCA" 1599 9
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 6
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 4
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 4
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 2
"BRCA" 1599 5
"BRCA" 1599 3
"BRCA" 1599 9
"BRCA" 1599 3
"BRCA" 1599 4
"BRCA" 1599 6
"BRCA" 1599 2
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 3
"BRCA" 1599 4
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 8
"BRCA" 1599 3
"BRCA" 1599 54
"BRCA" 1599 5
"BRCA" 1599 2
"BRCA" 1599 184
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 3
"BRCA" 1599 8
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 77
"BRCA" 1599 6
"BRCA" 1599 5
"BRCA" 1599 25
"BRCA" 1599 6
"BRCA" 1599 7
"BRCA" 1599 6
"BRCA" 1599 7
"BRCA" 1599 8
"BRCA" 1599 2
"BRCA" 1599 6
"BRCA" 1599 3
"BRCA" 1599 9
"BRCA" 1599 5
"BRCA" 1599 4
"BRCA" 1599 10
"BRCA" 1599 3
"BRCA" 1599 5
"BRCA" 1599 18
"BRCA" 1599 8
"BRCA" 1599 6
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 9
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 7
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 1
"BRCA" 1599 1
"BRCA" 1599 5
"BRCA" 1599 5
"BRCA" 1599 4
"BRCA" 1599 17
"BRCA" 1599 8
"BRCA" 1599 2
"BRCA" 1599 19
"BRCA" 1599 20
"BRCA" 1599 1
"BRCA" 1599 3
"BRCA" 1599 13
"BRCA" 1599 9
"BRCA" 1599 7
"BRCA" 1599 71
"BRCA" 1599 53
"BRCA" 1599 17
"BRCA" 1599 17
"BRCA" 1599 47
"BRCA" 1599 37
"BRCA" 1599 17
"BRCA" 1599 17
"BRCA" 1599 106
"BRCA" 1599 33
"BRCA" 1599 34
"BRCA" 1599 12
"BRCA" 1599 40
"BRCA" 1599 20
"BRCA" 1599 17
"BRCA" 1599 17
"BRCA" 1599 32
"BRCA" 1599 19
"BRCA" 1599 7
"BRCA" 1599 53
"BRCA" 1599 24
"BRCA" 1599 31
"BRCA" 1599 33
"BRCA" 1599 119
"BRCA" 1599 4
"BRCA" 1599 14
"BRCA" 1599 32
"BRCA" 1599 26
"BRCA" 1599 17
"BRCA" 1599 21
"BRCA" 1599 33
"BRCA" 1599 18
"BRCA" 1599 6
"BRCA" 1599 245
"BRCA" 1599 32
"BRCA" 1599 7
"BRCA" 1599 20
"BRCA" 1599 39
"BRCA" 1599 7
"BRCA" 1599 42
"BRCA" 1599 34
"BRCA" 1599 66
"BRCA" 1599 42
"BRCA" 1599 19
"BRCA" 1599 18
"BRCA" 1599 24
"BRCA" 1599 112
"BRCA" 1599 96
"BRCA" 1599 4
"BRCA" 1599 5
"BRCA" 1599 6
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 57
"BRCA" 1599 66
"BRCA" 1599 263
"BRCA" 1599 26
"BRCA" 1599 12
"BRCA" 1599 14
"BRCA" 1599 27
"BRCA" 1599 14
"BRCA" 1599 27
"BRCA" 1599 40
"BRCA" 1599 72
"BRCA" 1599 23
"BRCA" 1599 35
"BRCA" 1599 96
"BRCA" 1599 18
"BRCA" 1599 63
"BRCA" 1599 35
"BRCA" 1599 58
"BRCA" 1599 35
"BRCA" 1599 129
"BRCA" 1599 114
"BRCA" 1599 34
"BRCA" 1599 34
"BRCA" 1599 63
"BRCA" 1599 23
"BRCA" 1599 25
"BRCA" 1599 17
"BRCA" 1599 34
"BRCA" 1599 21
"BRCA" 1599 30
"BRCA" 1599 23
